date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-08-20 00:00:00+00:00,473.1,473.568,462.9335,463.0,31726797,114.9486432459,115.0623527472,112.4784987066,112.4946561464,126907188,0.0,1.0
2020-08-21 00:00:00+00:00,497.48,499.472,477.0,477.05,84513660,120.8722279476,121.3562222349,115.896222423,115.908370874,338054640,0.0,1.0
2020-08-24 00:00:00+00:00,503.43,515.14,495.745,514.79,86484442,122.3178936151,125.1630608364,120.4506766983,125.0780216795,345937768,0.0,1.0
2020-08-25 00:00:00+00:00,499.3,500.7172,492.21,498.79,52873947,121.3144315635,121.6587672583,119.5917812135,121.1905173634,211495788,0.0,1.0
2020-08-26 00:00:00+00:00,506.09,507.97,500.33,504.7165,40755567,122.9641912076,123.4209729648,121.5646896539,122.630473259,163022268,0.0,1.0
2020-08-27 00:00:00+00:00,500.04,509.94,495.33,508.57,38888096,121.4942286381,123.8996219337,120.3498445551,123.5667543766,155552384,0.0,1.0
2020-08-28 00:00:00+00:00,499.23,505.77,498.31,504.05,46907479,121.2974237321,122.8864411213,121.073892234,122.4685344073,187629916,0.0,1.0
2020-08-31 00:00:00+00:00,129.04,131.0,126.0,127.58,223505733,125.4108892366,127.3157663515,122.4563859564,123.9919501612,223505733,0.0,4.0
2020-09-01 00:00:00+00:00,134.18,134.8,130.53,132.76,152470142,130.4063322827,131.0088954517,126.8589845943,129.0262682505,152470142,0.0,1.0
2020-09-02 00:00:00+00:00,131.4,137.98,127.0,137.59,200118991,127.7045167831,134.099461383,123.4282620354,133.7204297122,200118991,0.0,1.0
2020-09-03 00:00:00+00:00,120.88,128.84,120.5,126.91,257599640,117.4803804318,125.2165140208,117.1110675218,123.3407931883,257599640,0.0,1.0
2020-09-04 00:00:00+00:00,120.96,123.7,110.89,120.07,332607163,117.5581305181,120.2210709746,107.7713384024,116.6931608078,332607163,0.0,1.0
2020-09-08 00:00:00+00:00,112.82,118.99,112.68,113.95,231366563,109.6470592349,115.6435346424,109.5109965838,110.7452792042,231366563,0.0,1.0
2020-09-09 00:00:00+00:00,117.32,119.14,115.26,117.26,176940455,114.0205015905,115.7893160543,112.0184368677,113.9621890257,176940455,0.0,1.0
2020-09-10 00:00:00+00:00,113.49,120.5,112.5,120.36,182274391,110.2982162078,117.1110675218,109.3360588896,116.9750048707,182274391,0.0,1.0
2020-09-11 00:00:00+00:00,112.0,115.23,110.0,114.57,180860325,108.8501208501,111.9892805853,106.9063686921,111.3478423732,180860325,0.0,1.0
2020-09-14 00:00:00+00:00,115.355,115.93,112.8,114.72,140150087,112.1107650952,112.6695938406,109.6276217133,111.493623785,140150087,0.0,1.0
2020-09-15 00:00:00+00:00,115.54,118.829,113.61,118.33,184642039,112.2905621698,115.4870625937,110.4148413373,115.0020964303,184642039,0.0,1.0
2020-09-16 00:00:00+00:00,112.13,116.0,112.04,115.23,155026675,108.9764647404,112.7376251662,108.8889958933,111.9892805853,155026675,0.0,1.0
